Site identification,Camera set date-time,Camera check date-time,Lure type,Species common name,Count of individuals,Observation date-time
Identification du Site,Appareil photo � la date et l�heure de l�installation,Appareil photo � la date et l�heure de la v�rification,Type d�app�t,Nom commun de l�esp�ce,Nombre d�individus,Date et heure de l�observation
22,10/06/2017 17:40,22/06/2017 13:20,Control,Black-tailed Deer,2,13/06/2017 13:33
22,10/06/2017 17:40,22/06/2017 13:20,Control,Black Bear,1,19/06/2017 18:19
22,21/07/2017 14:05,03/08/2017 11:35,Fish Oil,Black Bear,1,22/07/2017 16:53
22,21/07/2017 14:05,03/08/2017 11:35,Fish Oil,Black Bear,1,29/07/2017 20:10
22,10/07/2015 13:00,23/07/2015 8:55,Fish Oil,Black Bear,1,18/07/2015 0:45
22,10/07/2015 13:00,23/07/2015 8:55,Fish Oil,Black-tailed Deer,1,18/07/2015 17:00
22,10/07/2015 13:00,23/07/2015 8:55,Fish Oil,Wolf,1,21/07/2015 12:26
22,10/07/2015 13:00,23/07/2015 8:55,Fish Oil,Wolf,1,22/07/2015 9:07
22,10/07/2015 13:00,23/07/2015 8:55,Fish Oil,Wolf,1,22/07/2015 9:43
22,10/07/2015 13:00,23/07/2015 8:55,Fish Oil,Black Bear,1,15/07/2015 10:15
22,01/09/2017 12:15,14/09/2017 10:00,Anis Oil,Black-tailed Deer,1,03/09/2017 4:12
22,01/09/2017 12:15,14/09/2017 10:00,Anis Oil,Red Squirrel,1,11/09/2017 10:18
23,06/06/2014 11:05,24/06/2014 9:20,Control,Black Bear,1,12/06/2014 10:10
23,06/06/2014 11:05,24/06/2014 9:20,Control,Black Bear,1,13/06/2014 10:56
23,24/07/2015 12:40,06/08/2015 8:30,Control,Black Bear,1,27/07/2015 5:37
23,10/06/2015 11:15,29/06/2015 9:00,Fish Oil,Black Bear,1,20/06/2015 17:51
24,06/06/2014 11:35,24/06/2014 14:45,Anis Oil,Black Bear,1,20/06/2014 22:49
24,06/06/2014 11:35,24/06/2014 14:45,Anis Oil,Black Bear,1,20/06/2014 19:50
24,06/06/2014 11:35,24/06/2014 14:45,Anis Oil,Cougar,2,14/06/2014 11:14
